100.00,83.63,75.60,79.96,85.43,43.04,47.57,41.52,43.30,41.31,47.26,42.89,43.35,43.74,43.81,46.61,42.95,44.40,41.72,52.79,41.07,48.67,45.82,42.93,48.07,44.73,43.07,42.28,37.02,45.85,47.20,46.63,43.27,46.38,47.09
83.63,100.00,81.07,83.83,89.88,42.42,47.83,44.47,47.50,42.33,47.39,40.47,43.51,42.12,43.43,42.54,41.12,41.93,42.04,45.98,42.78,45.86,43.32,46.07,44.06,44.25,47.12,43.51,38.64,44.94,47.36,48.27,42.97,48.25,45.17
75.60,81.07,100.00,77.46,82.03,44.94,51.61,47.39,49.88,45.66,48.75,40.50,39.59,46.66,42.39,40.13,40.95,38.84,41.08,44.79,43.07,44.67,41.76,43.76,38.04,47.12,47.75,44.65,40.47,44.85,46.94,47.52,45.50,49.50,51.71
79.96,83.83,77.46,100.00,83.18,38.03,47.98,43.35,45.42,44.71,45.79,37.38,41.35,41.30,38.59,41.33,38.32,38.11,44.91,45.11,45.89,50.26,47.17,47.65,46.05,48.21,46.06,42.37,39.56,46.38,52.37,48.55,45.74,47.90,49.41
85.43,89.88,82.03,83.18,100.00,43.68,50.73,45.58,47.92,41.69,47.52,39.59,41.02,42.71,44.69,45.38,44.15,43.61,44.37,47.40,41.33,42.88,42.29,41.57,42.59,48.02,47.31,42.76,37.90,47.28,42.79,44.19,38.74,44.53,40.77
43.04,42.42,44.94,38.03,43.68,100.00,78.82,82.12,78.51,81.33,43.72,43.69,45.35,47.14,43.90,50.97,44.88,53.10,49.21,47.27,44.07,40.66,39.51,42.01,45.09,43.27,48.36,48.71,47.99,47.26,46.54,42.91,47.48,43.21,44.26
47.57,47.83,51.61,47.98,50.73,78.82,100.00,86.04,77.89,83.25,44.91,45.86,47.37,46.65,43.06,48.42,43.14,48.62,46.31,46.84,39.14,38.95,40.24,42.72,40.65,42.04,44.85,42.43,41.39,46.58,44.84,45.62,45.43,41.43,45.72
41.52,44.47,47.39,43.35,45.58,82.12,86.04,100.00,83.07,86.43,44.00,43.24,46.99,45.38,43.07,43.97,43.03,48.97,46.47,44.40,41.90,43.16,37.36,45.20,41.13,45.93,50.04,47.78,47.87,48.11,44.09,38.46,41.79,37.60,43.82
43.30,47.50,49.88,45.42,47.92,78.51,77.89,83.07,100.00,81.61,45.46,43.53,44.65,46.28,47.56,47.84,42.73,48.01,44.19,39.51,41.82,41.86,36.39,45.64,39.22,44.29,48.23,46.10,45.79,46.24,45.94,46.45,44.68,45.12,46.22
41.31,42.33,45.66,44.71,41.69,81.33,83.25,86.43,81.61,100.00,48.67,44.50,47.96,48.06,43.47,45.92,42.69,49.66,47.65,43.06,47.11,47.86,43.40,50.35,48.33,39.65,44.79,43.14,43.96,48.24,43.90,39.97,42.65,39.19,41.15
47.26,47.39,48.75,45.79,47.52,43.72,44.91,44.00,45.46,48.67,100.00,84.53,77.99,82.65,79.20,39.86,41.84,41.45,44.09,44.91,43.35,42.02,45.94,44.97,41.33,47.62,45.06,49.05,50.07,46.50,41.51,44.95,43.26,45.59,45.75
