100.00,81.14,81.56,82.25,82.65,74.09,72.04,76.29,75.36,71.51,70.78,70.60,73.21,69.19,68.81,70.73,74.12,74.45,75.09,74.38,71.56,64.89,71.00,74.71,70.27,75.29,71.19,75.16,77.41,71.69,75.72,73.86,72.68,76.59,66.82,75.19,71.79,76.71,75.19,75.40
81.14,100.00,80.69,80.80,81.53,69.70,70.08,72.92,69.91,69.30,72.46,68.62,68.25,72.09,67.00,72.01,69.28,73.32,72.43,75.48,70.05,65.38,65.87,70.39,65.56,71.42,70.49,69.83,69.68,64.32,72.51,72.71,71.38,71.82,68.40,76.63,71.00,73.55,72.67,72.72
81.56,80.69,100.00,79.03,81.50,74.84,75.44,81.49,76.26,72.53,72.40,70.46,74.75,73.45,69.09,73.74,75.47,75.33,75.33,77.11,75.71,66.61,71.27,76.34,74.57,76.80,73.41,76.23,73.31,72.87,76.01,73.48,74.54,74.23,70.19,77.52,74.52,77.75,76.41,77.77
82.25,80.80,79.03,100.00,77.66,74.07,79.32,77.40,74.24,75.79,76.64,75.00,78.67,76.98,72.74,74.77,76.36,80.17,79.62,78.30,74.75,71.41,68.86,78.30,72.27,70.22,77.30,74.19,73.23,74.24,75.15,75.74,70.39,77.94,69.65,77.26,76.53,75.95,76.47,75.68
82.65,81.53,81.50,77.66,100.00,73.03,73.14,73.63,69.88,71.96,67.25,70.42,66.46,69.30,67.22,66.91,71.72,68.69,68.52,73.71,70.15,63.99,65.64,70.21,71.62,73.48,69.93,72.54,71.33,70.60,68.51,72.22,71.53,70.76,64.90,74.56,71.28,74.40,73.16,75.76
74.09,69.70,74.84,74.07,73.03,100.00,83.84,85.56,78.40,79.13,68.07,76.80,75.61,72.91,69.89,72.05,73.69,75.12,70.47,72.81,75.20,73.10,79.30,79.78,74.67,77.33,76.42,78.14,76.80,75.05,74.55,77.45,73.75,73.22,67.74,76.94,73.87,76.07,78.03,78.03
72.04,70.08,75.44,79.32,73.14,83.84,100.00,84.04,77.15,78.85,69.40,75.18,72.37,74.51,67.84,73.20,73.78,74.36,72.45,74.96,77.19,68.96,71.96,74.99,75.77,74.55,77.51,75.26,69.45,75.36,74.72,74.36,73.69,72.70,64.19,76.07,70.30,73.26,73.34,75.13
76.29,72.92,81.49,77.40,73.63,85.56,84.04,100.00,80.88,77.04,70.87,77.81,76.70,77.89,70.16,75.93,76.48,76.24,76.41,79.15,77.51,72.72,76.31,75.58,74.57,75.06,75.28,75.28,73.47,70.47,77.17,80.31,75.93,75.48,69.63,81.94,74.72,79.44,78.18,81.29
75.36,69.91,76.26,74.24,69.88,78.40,77.15,80.88,100.00,76.49,76.16,78.07,75.64,76.19,75.91,78.29,76.56,78.19,74.48,76.20,75.15,69.93,74.94,73.72,76.11,73.56,77.02,75.27,77.22,73.86,76.88,74.93,70.50,71.30,70.96,78.76,73.65,75.98,74.77,75.64
71.51,69.30,72.53,75.79,71.96,79.13,78.85,77.04,76.49,100.00,68.28,73.01,68.33,68.96,72.83,70.71,69.77,72.31,70.40,72.41,70.50,67.15,74.26,75.66,72.11,69.83,73.72,71.62,70.12,67.72,69.86,71.66,66.69,69.49,62.15,70.71,77.89,74.75,74.95,70.36
70.78,72.46,72.40,76.64,67.25,68.07,69.40,70.87,76.16,68.28,100.00,80.35,77.58,81.35,84.39,75.84,76.22,77.86,75.11,75.99,71.43,67.90,66.82,75.96,73.07,74.53,76.75,76.69,77.25,75.30,71.57,72.18,72.34,73.34,74.57,80.89,70.90,72.41,73.12,76.31
70.60,68.62,70.46,75.00,70.42,76.80,75.18,77.81,78.07,73.01,80.35,100.00,78.71,83.03,84.10,75.07,75.31,75.84,73.83,73.05,74.12,70.96,70.05,74.00,69.92,78.31,76.07,75.46,75.53,72.79,73.31,74.81,74.03,72.43,71.30,79.72,73.17,75.69,72.45,76.00
73.21,68.25,74.75,78.67,66.46,75.61,72.37,76.70,75.64,68.33,77.58,78.71,100.00,79.00,79.13,74.49,76.28,79.04,77.79,74.13,74.37,71.69,73.02,78.91,70.14,71.37,71.72,73.47,72.85,74.56,76.61,72.22,69.06,73.47,73.99,79.78,73.78,74.29,75.51,78.36
69.19,72.09,73.45,76.98,69.30,72.91,74.51,77.89,76.19,68.96,81.35,83.03,79.00,100.00,82.62,78.88,76.74,78.67,78.26,76.97,74.87,73.42,70.44,75.63,71.30,76.07,76.72,75.83,72.42,75.42,76.84,78.08,72.95,70.56,72.42,81.66,72.03,79.91,79.40,76.12
68.81,67.00,69.09,72.74,67.22,69.89,67.84,70.16,75.91,72.83,84.39,84.10,79.13,82.62,100.00,75.84,74.96,77.98,73.23,71.35,72.26,69.92,67.79,76.23,70.77,74.95,73.77,74.44,76.63,71.27,73.78,70.50,68.21,68.89,70.25,81.19,76.72,75.38,74.86,74.79
