100.00,63.47,64.85,64.71,66.60,64.00,55.61,61.80,63.13,58.93
63.47,100.00,63.78,61.94,64.15,62.35,49.52,72.71,62.35,59.66
64.85,63.78,100.00,63.87,64.97,62.69,53.46,64.78,66.23,64.59
64.71,61.94,63.87,100.00,62.85,63.42,59.05,71.24,62.55,63.09
66.60,64.15,64.97,62.85,100.00,61.24,53.20,64.93,61.33,61.71
64.00,62.35,62.69,63.42,61.24,100.00,66.20,65.62,69.53,63.73
55.61,49.52,53.46,59.05,53.20,66.20,100.00,63.66,63.85,61.97
61.80,72.71,64.78,71.24,64.93,65.62,63.66,100.00,65.81,63.35
63.13,62.35,66.23,62.55,61.33,69.53,63.85,65.81,100.00,63.38
58.93,59.66,64.59,63.09,61.71,63.73,61.97,63.35,63.38,100.00
