100.00,48.27,49.31,43.01,45.80,41.68,48.31,58.13,56.20,53.88
48.27,100.00,52.17,49.91,53.99,50.52,51.37,52.78,54.60,52.57
49.31,52.17,100.00,54.96,48.37,54.24,46.03,58.46,54.63,52.40
43.01,49.91,54.96,100.00,50.18,52.72,45.44,49.02,49.79,50.40
45.80,53.99,48.37,50.18,100.00,45.57,48.25,44.80,44.52,58.07
41.68,50.52,54.24,52.72,45.57,100.00,57.73,45.33,58.14,55.74
48.31,51.37,46.03,45.44,48.25,57.73,100.00,45.78,52.37,45.81
58.13,52.78,58.46,49.02,44.80,45.33,45.78,100.00,57.28,51.11
56.20,54.60,54.63,49.79,44.52,58.14,52.37,57.28,100.00,55.71
53.88,52.57,52.40,50.40,58.07,55.74,45.81,51.11,55.71,100.00
