100.00,72.18,67.81,68.29,74.69,46.37,44.88,49.05,47.89,47.60,42.97,40.21,46.37,39.34,40.43,44.26,48.39,47.50,52.72,49.77,43.98,40.07,46.93,46.46,45.58,51.75,41.89,49.45,56.85,46.68,51.76,47.35,47.92,56.76,42.86,44.14,45.16,50.37,47.51,45.22
72.18,100.00,69.70,69.25,75.36,44.59,47.48,48.82,44.80,49.89,50.65,42.21,43.06,49.45,42.62,49.88,44.01,48.89,51.11,54.54,47.43,46.92,45.26,45.12,44.70,49.60,45.85,44.94,48.19,39.80,52.56,51.49,51.77,55.70,50.61,50.25,48.20,48.45,46.60,44.13
67.81,69.70,100.00,60.09,70.76,45.88,49.31,57.27,47.99,48.25,44.06,38.67,47.50,45.37,39.63,46.77,48.04,46.27,50.08,51.81,48.77,40.17,45.14,47.22,50.35,52.15,43.16,48.91,46.63,45.73,50.99,45.42,49.90,52.20,46.28,48.46,49.97,52.18,49.40,48.87
68.29,69.25,60.09,100.00,64.12,44.19,55.55,49.21,44.04,52.70,50.93,46.05,54.35,51.11,45.34,47.14,48.20,54.09,56.83,52.60,47.24,47.66,41.36,51.13,46.21,38.20,49.39,43.89,44.88,46.70,48.99,48.80,41.98,57.47,44.56,46.14,51.80,47.01,48.16,43.13
74.69,75.36,70.76,64.12,100.00,49.46,51.73,49.36,44.36,53.32,42.37,44.64,39.62,44.54,42.63,41.16,47.11,40.71,43.85,51.18,46.16,43.48,43.67,43.47,52.12,52.50,44.29,48.79,50.11,48.60,44.50,48.86,49.97,51.83,44.09,47.60,49.17,50.63,48.60,50.17
46.37,44.59,45.88,44.19,49.46,100.00,73.11,73.52,61.30,66.81,35.55,51.69,48.86,43.09,40.22,43.47,44.01,44.22,38.22,42.12,46.64,49.03,58.81,51.59,48.15,50.67,47.81,50.37,49.92,47.49,47.84,52.30,48.07,50.59,42.09,46.73,48.04,46.27,51.32,48.11
44.88,47.48,49.31,55.55,51.73,73.11,100.00,72.22,61.06,68.23,40.82,51.66,45.82,48.70,39.85,48.84,47.49,46.30,45.52,49.22,51.03,43.59,48.18,44.19,50.91,47.60,51.59,47.16,38.70,49.63,49.95,48.64,49.73,51.67,38.77,46.83,43.41,42.83,44.33,44.85
49.05,48.82,57.27,49.21,49.36,73.52,72.22,100.00,63.80,61.22,38.04,51.85,48.92,50.59,38.66,49.61,48.47,45.64,48.59,53.19,48.69,46.17,51.64,41.25,45.80,44.77,43.14,43.11,41.61,37.21,51.44,56.65,50.69,53.48,43.83,56.16,48.05,51.53,50.45,54.24
47.89,44.80,47.99,44.04,44.36,61.30,61.06,63.80,100.00,61.88,52.00,56.06,50.49,51.40,52.94,57.01,51.44,52.44,48.09,50.39,46.43,44.63,52.17,40.11,51.51,44.76,49.65,45.81,52.15,46.59,52.51,48.21,43.66,48.63,47.72,48.58,46.09,44.48,43.59,41.49
47.60,49.89,48.25,52.70,53.32,66.81,68.23,61.22,61.88,100.00,43.11,51.42,42.67,43.34,51.38,49.72,45.75,47.44,46.64,49.89,45.97,47.31,57.30,51.09,51.42,44.23,49.31,44.96,45.03,41.96,46.09,48.08,43.23,50.46,39.67,39.21,59.13,48.25,49.77,38.61
42.97,50.65,44.06,50.93,42.37,35.55,40.82,38.04,52.00,43.11,100.00,66.20,58.65,65.43,74.44,48.31,48.17,49.26,44.46,45.57,42.27,43.29,40.03,47.47,48.48,48.83,52.64,49.74,54.34,50.40,44.71,44.46,48.36,52.20,53.84,56.32,43.27,41.13,42.41,46.37
40.21,42.21,38.67,46.05,44.64,51.69,51.66,51.85,56.06,51.42,66.20,100.00,59.39,69.10,73.44,46.86,46.30,45.47,42.76,40.16,46.47,48.38,45.49,43.50,43.75,56.55,51.38,48.39,52.39,47.37,46.98,48.32,49.33,49.29,48.55,49.95,43.14,43.65,37.23,41.72
46.37,43.06,47.50,54.35,39.62,48.86,45.82,48.92,50.49,42.67,58.65,59.39,100.00,58.74,63.16,46.57,48.65,52.33,50.87,42.45,47.52,50.08,50.76,53.89,44.70,42.37,41.57,43.53,46.07,48.95,53.00,43.02,41.50,51.49,52.48,50.74,45.22,41.50,43.61,47.34
39.34,49.45,45.37,51.11,44.54,43.09,48.70,50.59,51.40,43.34,65.43,69.10,58.74,100.00,69.60,50.34,45.92,47.53,47.15,44.40,45.81,49.35,43.52,44.41,42.58,48.17,48.98,44.45,41.23,47.07,52.77,53.87,48.11,46.92,49.53,57.41,43.96,54.62,53.19,44.88
40.43,42.62,39.63,45.34,42.63,40.22,39.85,38.66,52.94,51.38,74.44,73.44,63.16,69.60,100.00,50.57,47.86,51.45,44.19,39.49,46.47,49.31,44.79,50.99,48.12,51.05,48.21,47.58,54.98,45.37,49.67,42.66,42.42,45.99,48.55,56.62,53.58,47.09,45.81,43.49
44.26,49.88,46.77,47.14,41.16,43.47,48.84,49.61,57.01,49.72,48.31,46.86,46.57,50.34,50.57,100.00,59.50,64.84,63.90,73.54,55.46,47.99,44.21,42.57,51.08,48.53,46.41,52.44,52.17,47.64,48.51,48.17,43.37,48.88,45.74,46.81,51.74,48.88,53.97,44.92
48.39,44.01,48.04,48.20,47.11,44.01,47.49,48.47,51.44,45.75,48.17,46.30,48.65,45.92,47.86,59.50,100.00,68.97,63.89,74.42,40.48,48.54,35.48,41.23,43.36,40.83,50.43,50.25,47.65,50.02,51.19,50.75,48.26,44.65,53.42,51.99,51.97,57.91,56.33,53.90
47.50,48.89,46.27,54.09,40.71,44.22,46.30,45.64,52.44,47.44,49.26,45.47,52.33,47.53,51.45,64.84,68.97,100.00,70.93,65.11,53.30,51.99,44.92,53.63,48.24,47.94,46.67,49.56,49.30,47.95,48.30,47.06,40.93,44.95,49.33,44.27,44.63,45.90,44.88,47.99
52.72,51.11,50.08,56.83,43.85,38.22,45.52,48.59,48.09,46.64,44.46,42.76,50.87,47.15,44.19,63.90,63.89,70.93,100.00,67.78,47.11,44.26,45.11,47.32,46.67,43.77,48.01,51.94,48.55,45.18,54.99,52.18,43.06,47.19,48.26,43.08,47.86,49.77,48.30,49.40
49.77,54.54,51.81,52.60,51.18,42.12,49.22,53.19,50.39,49.89,45.57,40.16,42.45,44.40,39.49,73.54,74.42,65.11,67.78,100.00,44.52,47.37,37.08,40.56,44.68,44.30,49.81,50.90,46.11,46.64,51.32,49.46,42.92,46.58,45.65,55.09,50.69,56.06,60.04,52.41
43.98,47.43,48.77,47.24,46.16,46.64,51.03,48.69,46.43,45.97,42.27,46.47,47.52,45.81,46.47,55.46,40.48,53.30,47.11,44.52,100.00,71.91,65.14,61.11,71.02,48.34,49.21,46.37,43.58,50.08,43.63,49.45,44.23,47.80,48.58,45.19,44.26,51.73,41.12,58.81
40.07,46.92,40.17,47.66,43.48,49.03,43.59,46.17,44.63,47.31,43.29,48.38,50.08,49.35,49.31,47.99,48.54,51.99,44.26,47.37,71.91,100.00,68.59,63.07,63.09,43.47,47.01,42.20,47.56,40.26,44.74,42.80,47.96,42.32,54.61,47.43,50.90,49.36,49.01,53.65
46.93,45.26,45.14,41.36,43.67,58.81,48.18,51.64,52.17,57.30,40.03,45.49,50.76,43.52,44.79,44.21,35.48,44.92,45.11,37.08,65.14,68.59,100.00,66.84,66.26,49.95,44.51,44.88,49.06,41.28,54.76,53.63,50.21,52.46,54.58,40.90,45.43,44.94,41.94,47.31
46.46,45.12,47.22,51.13,43.47,51.59,44.19,41.25,40.11,51.09,47.47,43.50,53.89,44.41,50.99,42.57,41.23,53.63,47.32,40.56,61.11,63.07,66.84,100.00,63.79,54.89,51.30,48.68,49.82,47.03,49.85,48.11,52.25,49.29,52.12,44.26,48.15,45.98,45.80,51.36
45.58,44.70,50.35,46.21,52.12,48.15,50.91,45.80,51.51,51.42,48.48,43.75,44.70,42.58,48.12,51.08,43.36,48.24,46.67,44.68,71.02,63.09,66.26,63.79,100.00,47.41,46.09,46.56,50.12,51.75,47.69,49.16,49.51,47.35,49.29,37.50,47.81,46.50,38.20,49.19
51.75,49.60,52.15,38.20,52.50,50.67,47.60,44.77,44.76,44.23,48.83,56.55,42.37,48.17,51.05,48.53,40.83,47.94,43.77,44.30,48.34,43.47,49.95,54.89,47.41,100.00,56.70,73.62,60.39,65.33,45.91,46.04,48.77,41.12,46.05,47.84,44.52,45.45,50.24,50.76
41.89,45.85,43.16,49.39,44.29,47.81,51.59,43.14,49.65,49.31,52.64,51.38,41.57,48.98,48.21,46.41,50.43,46.67,48.01,49.81,49.21,47.01,44.51,51.30,46.09,56.70,100.00,67.94,59.15,69.23,44.35,43.52,49.10,40.61,42.62,46.83,52.41,38.90,47.22,46.60
49.45,44.94,48.91,43.89,48.79,50.37,47.16,43.11,45.81,44.96,49.74,48.39,43.53,44.45,47.58,52.44,50.25,49.56,51.94,50.90,46.37,42.20,44.88,48.68,46.56,73.62,67.94,100.00,65.00,72.97,53.58,48.39,53.38,42.77,46.51,48.04,49.01,49.86,52.89,49.40
56.85,48.19,46.63,44.88,50.11,49.92,38.70,41.61,52.15,45.03,54.34,52.39,46.07,41.23,54.98,52.17,47.65,49.30,48.55,46.11,43.58,47.56,49.06,49.82,50.12,60.39,59.15,65.00,100.00,64.19,49.94,40.92,51.52,43.29,51.77,41.72,48.86,49.26,50.95,48.62
46.68,39.80,45.73,46.70,48.60,47.49,49.63,37.21,46.59,41.96,50.40,47.37,48.95,47.07,45.37,47.64,50.02,47.95,45.18,46.64,50.08,40.26,41.28,47.03,51.75,65.33,69.23,72.97,64.19,100.00,46.86,49.17,45.62,48.08,51.08,39.28,52.18,45.64,47.85,47.31
51.76,52.56,50.99,48.99,44.50,47.84,49.95,51.44,52.51,46.09,44.71,46.98,53.00,52.77,49.67,48.51,51.19,48.30,54.99,51.32,43.63,44.74,54.76,49.85,47.69,45.91,44.35,53.58,49.94,46.86,100.00,70.28,61.22,66.94,67.26,44.63,44.34,50.50,43.64,40.33
47.35,51.49,45.42,48.80,48.86,52.30,48.64,56.65,48.21,48.08,44.46,48.32,43.02,53.87,42.66,48.17,50.75,47.06,52.18,49.46,49.45,42.80,53.63,48.11,49.16,46.04,43.52,48.39,40.92,49.17,70.28,100.00,68.77,65.66,67.24,44.80,43.72,52.16,47.84,44.38
47.92,51.77,49.90,41.98,49.97,48.07,49.73,50.69,43.66,43.23,48.36,49.33,41.50,48.11,42.42,43.37,48.26,40.93,43.06,42.92,44.23,47.96,50.21,52.25,49.51,48.77,49.10,53.38,51.52,45.62,61.22,68.77,100.00,66.35,66.90,51.80,48.01,55.52,52.96,44.07
56.76,55.70,52.20,57.47,51.83,50.59,51.67,53.48,48.63,50.46,52.20,49.29,51.49,46.92,45.99,48.88,44.65,44.95,47.19,46.58,47.80,42.32,52.46,49.29,47.35,41.12,40.61,42.77,43.29,48.08,66.94,65.66,66.35,100.00,70.81,45.75,43.17,42.34,46.02,38.37
42.86,50.61,46.28,44.56,44.09,42.09,38.77,43.83,47.72,39.67,53.84,48.55,52.48,49.53,48.55,45.74,53.42,49.33,48.26,45.65,48.58,54.61,54.58,52.12,49.29,46.05,42.62,46.51,51.77,51.08,67.26,67.24,66.90,70.81,100.00,47.50,41.63,50.20,47.94,46.04
44.14,50.25,48.46,46.14,47.60,46.73,46.83,56.16,48.58,39.21,56.32,49.95,50.74,57.41,56.62,46.81,51.99,44.27,43.08,55.09,45.19,47.43,40.90,44.26,37.50,47.84,46.83,48.04,41.72,39.28,44.63,44.80,51.80,45.75,47.50,100.00,60.53,69.46,69.96,66.57
