100.00,55.65,61.15,57.10,58.90,52.55,41.36,52.42,47.57,50.25,41.90,45.12,43.49,44.09,43.38,51.76,56.96,47.59,50.40,42.69
55.65,100.00,57.58,52.59,52.66,53.14,47.25,48.68,55.68,56.74,48.17,54.23,45.05,47.89,45.28,43.94,47.33,47.42,56.18,50.60
61.15,57.58,100.00,52.51,56.12,49.38,52.07,50.46,59.59,51.33,42.70,53.09,43.16,51.26,45.88,48.32,49.79,49.27,55.76,44.92
57.10,52.59,52.51,100.00,50.26,49.00,47.86,47.14,52.56,54.09,47.88,45.28,46.86,42.09,46.76,48.20,51.39,47.31,47.56,51.42
58.90,52.66,56.12,50.26,100.00,49.12,56.55,52.40,50.46,50.19,43.18,51.87,45.82,44.88,48.01,45.47,56.58,51.22,57.47,52.18
52.55,53.14,49.38,49.00,49.12,100.00,54.35,57.03,56.17,54.95,59.37,48.50,61.82,54.24,59.50,47.18,49.33,49.14,42.07,48.29
41.36,47.25,52.07,47.86,56.55,54.35,100.00,48.56,51.84,55.52,53.02,58.53,48.89,51.28,45.41,56.07,54.60,47.65,54.56,50.58
52.42,48.68,50.46,47.14,52.40,57.03,48.56,100.00,59.77,58.40,50.31,51.47,47.45,54.86,41.61,54.16,54.98,53.81,50.08,46.21
47.57,55.68,59.59,52.56,50.46,56.17,51.84,59.77,100.00,61.28,55.74,57.40,52.75,53.99,56.80,47.04,48.68,54.15,52.83,55.21
50.25,56.74,51.33,54.09,50.19,54.95,55.52,58.40,61.28,100.00,54.79,54.05,51.34,58.59,53.21,55.35,51.35,52.38,52.70,50.85
41.90,48.17,42.70,47.88,43.18,59.37,53.02,50.31,55.74,54.79,100.00,55.93,62.50,60.90,58.90,52.31,56.33,48.35,50.64,53.77
45.12,54.23,53.09,45.28,51.87,48.50,58.53,51.47,57.40,54.05,55.93,100.00,56.89,56.49,45.86,52.99,52.86,52.68,53.49,56.16
43.49,45.05,43.16,46.86,45.82,61.82,48.89,47.45,52.75,51.34,62.50,56.89,100.00,61.10,61.85,42.96,50.37,51.45,41.64,46.39
44.09,47.89,51.26,42.09,44.88,54.24,51.28,54.86,53.99,58.59,60.90,56.49,61.10,100.00,51.01,59.67,53.77,48.94,48.45,55.75
43.38,45.28,45.88,46.76,48.01,59.50,45.41,41.61,56.80,53.21,58.90,45.86,61.85,51.01,100.00,47.06,51.18,52.51,43.28,55.55
51.76,43.94,48.32,48.20,45.47,47.18,56.07,54.16,47.04,55.35,52.31,52.99,42.96,59.67,47.06,100.00,52.83,51.92,55.98,59.00
56.96,47.33,49.79,51.39,56.58,49.33,54.60,54.98,48.68,51.35,56.33,52.86,50.37,53.77,51.18,52.83,100.00,56.86,51.43,50.03
47.59,47.42,49.27,47.31,51.22,49.14,47.65,53.81,54.15,52.38,48.35,52.68,51.45,48.94,52.51,51.92,56.86,100.00,53.83,55.62
50.40,56.18,55.76,47.56,57.47,42.07,54.56,50.08,52.83,52.70,50.64,53.49,41.64,48.45,43.28,55.98,51.43,53.83,100.00,61.71
42.69,50.60,44.92,51.42,52.18,48.29,50.58,46.21,55.21,50.85,53.77,56.16,46.39,55.75,55.55,59.00,50.03,55.62,61.71,100.00
