100.00,47.44,56.24,48.61,51.55,49.58,49.06,47.51,50.47,47.30
47.44,100.00,49.17,55.64,47.85,55.24,46.95,45.71,44.43,49.39
56.24,49.17,100.00,56.74,51.51,48.92,54.88,47.92,49.94,51.19
48.61,55.64,56.74,100.00,52.06,51.15,52.11,49.96,48.59,55.24
51.55,47.85,51.51,52.06,100.00,41.34,44.66,47.87,40.87,39.95
49.58,55.24,48.92,51.15,41.34,100.00,47.27,42.75,43.47,51.21
49.06,46.95,54.88,52.11,44.66,47.27,100.00,43.14,45.60,59.04
47.51,45.71,47.92,49.96,47.87,42.75,43.14,100.00,50.42,47.20
50.47,44.43,49.94,48.59,40.87,43.47,45.60,50.42,100.00,48.77
47.30,49.39,51.19,55.24,39.95,51.21,59.04,47.20,48.77,100.00
